nombre,categoria,cocina,comuna,barrio,lat,long,geometry
DR. GUEVARA,RESTAURANTE,TRADICIONAL,Comuna 1,San Telmo,-34.6161212711895,-58.3702983514141,POINT (-58.3702983514141 -34.6161212711895)
DRINK STOP,RESTAURANTE,TRADICIONAL,Comuna 2,Recoleta,-34.5969104479713,-58.3871086412627,POINT (-58.3871086412627 -34.5969104479713)
DRUID IN,RESTAURANTE,INTERNACIONAL,Comuna 1,Retiro,-34.5956306955224,-58.3732486235497,POINT (-58.3732486235497 -34.5956306955224)
DUICINED,PUB,MINUTAS,Comuna 14,Palermo,-34.581647533861,-58.4212771780165,POINT (-58.4212771780165 -34.581647533861)
DUO,RESTAURANTE,SANDWICHERIA,Comuna 7,Flores,-34.6148276693116,-58.4616950947127,POINT (-58.4616950947127 -34.6148276693116)
D' VITTORIO,PUB,INTERNACIONAL,Comuna 1,San Nicolas,-34.603021716983,-58.3906077002535,POINT (-58.3906077002535 -34.603021716983)
EA,BAR,MINUTAS,Comuna 14,Palermo,-34.5785796681259,-58.432133516195,POINT (-58.432133516195 -34.5785796681259)
E & E,RESTAURANTE,MINUTAS,Comuna 4,Parque Patricios,-34.6349227375785,-58.3936009370506,POINT (-58.3936009370506 -34.6349227375785)
EH! SANTINO,RESTAURANTE,ITALIANA,Comuna 14,Palermo,-34.5727396063572,-58.4300795088055,POINT (-58.4300795088055 -34.5727396063572)
EIFFEL,BAR,MINUTAS,Comuna 1,San Nicolas,-34.5998361670717,-58.3708863720429,POINT (-58.3708863720429 -34.5998361670717)
EL 602,BAR,MINUTAS,Comuna 1,Monserrat,-34.6127505644953,-58.3749416504838,POINT (-58.3749416504838 -34.6127505644953)
EL ALBA,RESTAURANTE,MINUTAS,Comuna 4,Parque Patricios,-34.6427037507826,-58.4087416986298,POINT (-58.4087416986298 -34.6427037507826)
EL ALBA,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6063378262363,-58.3852946091151,POINT (-58.3852946091151 -34.6063378262363)
EL ALFARERO,RESTAURANTE,MINUTAS,Comuna 1,Monserrat,-34.6143792164424,-58.3833653314011,POINT (-58.3833653314011 -34.6143792164424)
EL ALGIBE,RESTAURANTE,INTERNACIONAL,Comuna 1,Retiro,-34.5929646256025,-58.3731867322431,POINT (-58.3731867322431 -34.5929646256025)
EL AMADOR,RESTAURANTE,INTERNACIONAL,Comuna 1,Monserrat,-34.6134172655502,-58.3680285680761,POINT (-58.3680285680761 -34.6134172655502)
EL ANCLA DEL ORO,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6070868597406,-58.3787143930606,POINT (-58.3787143930606 -34.6070868597406)
EL ANDEN,RESTAURANTE,INTERNACIONAL,Comuna 1,Monserrat,-34.6159938374465,-58.3726412959994,POINT (-58.3726412959994 -34.6159938374465)
EL ANDEN,RESTAURANTE,INTERNACIONAL,Comuna 1,Monserrat,-34.6159938374465,-58.3726412959994,POINT (-58.3726412959994 -34.6159938374465)
EL ARBOLITO,RESTAURANTE,PARRILLA,Comuna 15,Villa Ortuzar,-34.5834533283713,-58.4686683014326,POINT (-58.4686683014326 -34.5834533283713)
EL ARGENTINO,BAR,MINUTAS,Comuna 1,San Nicolas,-34.5992213344949,-58.3767927881202,POINT (-58.3767927881202 -34.5992213344949)
EL ARRIERO,RESTAURANTE,PARRILLA,Comuna 12,Villa Urquiza,-34.5705465640112,-58.4801874690583,POINT (-58.4801874690583 -34.5705465640112)
EL BAGUAL,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5697406255579,-58.4322423366992,POINT (-58.4322423366992 -34.5697406255579)
EL BALON,BAR,MINUTAS,Comuna 11,Villa Gral. Mitre,-34.6182990362021,-58.4704873859695,POINT (-58.4704873859695 -34.6182990362021)
EL BAR,CONFITERIA,INTERNACIONAL,Comuna 3,Balvanera,-34.608670326086,-58.4021205770808,POINT (-58.4021205770808 -34.608670326086)
EL BAR,RESTAURANTE,MINUTAS,Comuna 1,Monserrat,-34.6110183771403,-58.3875206757247,POINT (-58.3875206757247 -34.6110183771403)
EL BARCITO,RESTAURANTE,MINUTAS,Comuna 4,Parque Patricios,-34.6345614351244,-58.4091145207959,POINT (-58.4091145207959 -34.6345614351244)
EL BAR.COM,BAR,TRADICIONAL,Comuna 3,Balvanera,-34.6058353828802,-58.3953482332572,POINT (-58.3953482332572 -34.6058353828802)
EL BAR DE ALLENDE,RESTAURANTE,TRADICIONAL,Comuna 11,Villa Devoto,-34.6088349878837,-58.5167599026863,POINT (-58.5167599026863 -34.6088349878837)
EL BAR DE BICHI Y KUKI,CAFE,SANDWICHERIA,Comuna 7,Flores,-34.6237633141185,-58.4631048426856,POINT (-58.4631048426856 -34.6237633141185)
EL BAR DE LA ESQUINA,RESTAURANTE,MINUTAS,Comuna 1,Monserrat,-34.6149204224789,-58.3738317604049,POINT (-58.3738317604049 -34.6149204224789)
EL BODEGON,RESTAURANTE,INTERNACIONAL,Comuna 1,Monserrat,-34.612132784056,-58.3705003716024,POINT (-58.3705003716024 -34.612132784056)
EL BOLICHE,BAR,PARRILLA,Comuna 4,Boca,-34.6341567107995,-58.3634436988449,POINT (-58.3634436988449 -34.6341567107995)
EL BOMBON,RESTAURANTE,SANDWICHERIA,Comuna 6,Caballito,-34.6259361952561,-58.436628750185,POINT (-58.436628750185 -34.6259361952561)
EL BRETON FENIX,RESTAURANTE,PIZZERIA,Comuna 10,Floresta,-34.6321288223403,-58.4743556236754,POINT (-58.4743556236754 -34.6321288223403)
EL BUEN GOURMET,RESTAURANTE,PORTEA'A,Comuna 14,Palermo,-34.5855611521412,-58.4205233971799,POINT (-58.4205233971799 -34.5855611521412)
EL BUEN GUSTO,RESTAURANTE,PIZZERIA,Comuna 9,Mataderos,-34.6616836303974,-58.4848933233585,POINT (-58.4848933233585 -34.6616836303974)
EL BURGUER MIX,RESTAURANTE,FAST FOOD,Comuna 4,Barracas,-34.6431249270719,-58.3736232584271,POINT (-58.3736232584271 -34.6431249270719)
EL CABALLITO,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5833195561007,-58.4035627660745,POINT (-58.4035627660745 -34.5833195561007)
EL CAFE DE ARENALES,RESTAURANTE,MINUTAS,Comuna 2,Recoleta,-34.589264394963,-58.4082551976977,POINT (-58.4082551976977 -34.589264394963)
EL CAFE DE CABALLITO,CAFE,SANDWICHERIA,Comuna 6,Caballito,-34.619091391272,-58.4380346606963,POINT (-58.4380346606963 -34.619091391272)
EL CAFE DE LA ESQUINA,CAFE,MINUTAS,Comuna 4,Parque Patricios,-34.6295600089908,-58.4056447464025,POINT (-58.4056447464025 -34.6295600089908)
EL CAFE DEL VIDEO,CONFITERIA,SANDWICHERIA,Comuna 10,Versalles,-34.6315506837513,-58.5192567294347,POINT (-58.5192567294347 -34.6315506837513)
EL CANO GRILL,RESTAURANTE,TRADICIONAL,Comuna 13,Colegiales,-34.5759983342566,-58.4597995070019,POINT (-58.4597995070019 -34.5759983342566)
EL CARACOL,RESTAURANTE,MINUTAS,Comuna 1,San Telmo,-34.6209092278993,-58.3728877250271,POINT (-58.3728877250271 -34.6209092278993)
EL CEDRON,RESTAURANTE,INTERNACIONAL,Comuna 9,Mataderos,-34.6536914166605,-58.5048242852198,POINT (-58.5048242852198 -34.6536914166605)
EL CEIBAL,RESTAURANTE,PARRILLA,Comuna 14,Palermo,-34.5897622384532,-58.4121836250167,POINT (-58.4121836250167 -34.5897622384532)
EL CENADO,CAFE,MINUTAS,Comuna 13,NuAfA+-ez,-34.537583863888,-58.4702765741847,POINT (-58.4702765741847 -34.537583863888)
EL CERRITO,RESTAURANTE,TRADICIONAL,Comuna 1,San Nicolas,-34.6058499301344,-58.38214003873,POINT (-58.38214003873 -34.6058499301344)
EL CHAMUYO,RESTAURANTE,TRADICIONAL,Comuna 11,Villa Santa Rita,-34.6185655122235,-58.4813821411647,POINT (-58.4813821411647 -34.6185655122235)
EL CHAVAL,RESTAURANTE,ITALIANA,Comuna 10,Floresta,-34.633450339968,-58.4808039351196,POINT (-58.4808039351196 -34.633450339968)
EL CLAUSTRO SANTA CATALINA RESTAURA,RESTAURANTE,DE AUTOR,Comuna 1,San Nicolas,-34.5996711304457,-58.3740521213395,POINT (-58.3740521213395 -34.5996711304457)
EL CLAVEL DE EGIPTO,RESTAURANTE,PORTEA'A,Comuna 1,San Nicolas,-34.6035551798715,-58.3804337079628,POINT (-58.3804337079628 -34.6035551798715)
EL CLAVEL DE SUAREZ,RESTAURANTE,MINUTAS,Comuna 1,San Nicolas,-34.6034930583846,-58.3767749267518,POINT (-58.3767749267518 -34.6034930583846)
EL CLAVO DE ORO,RESTAURANTE,MINUTAS,Comuna 10,Monte Castro,-34.625945030249,-58.5093993556542,POINT (-58.5093993556542 -34.625945030249)
EL CLON,RESTAURANTE,ITALIANA,Comuna 10,Monte Castro,-34.6227235254758,-58.5098229140219,POINT (-58.5098229140219 -34.6227235254758)
EL COCOROCO,RESTAURANTE,PARRILLA,Comuna 13,Belgrano,-34.5601443117262,-58.4610849429863,POINT (-58.4610849429863 -34.5601443117262)
EL COLECCIONISTA,CAFE,SANDWICHERIA,Comuna 6,Caballito,-34.6174234064277,-58.4346843712892,POINT (-58.4346843712892 -34.6174234064277)
EL CORDOBES,RESTAURANTE,INTERNACIONAL,Comuna 4,Barracas,-34.6480408550667,-58.3683581860826,POINT (-58.3683581860826 -34.6480408550667)
EL CORSARIO,BAR,TRADICIONAL,Comuna 4,Boca,-34.640196441969,-58.3617507563836,POINT (-58.3617507563836 -34.640196441969)
EL CRACK,RESTAURANTE,MINUTAS,Comuna 1,San Nicolas,-34.6005155619345,-58.386376674864,POINT (-58.386376674864 -34.6005155619345)
EL CREADOR,RESTAURANTE,PARRILLA,Comuna 6,Caballito,-34.6251852194192,-58.4284792567099,POINT (-58.4284792567099 -34.6251852194192)
EL CRIOLLITO,RESTAURANTE,PARRILLA,Comuna 9,Mataderos,-34.6629656650637,-58.5008035805295,POINT (-58.5008035805295 -34.6629656650637)
EL CUARTITO,RESTAURANTE,PIZZERIA,Comuna 1,Retiro,-34.5978457780417,-58.3855198157091,POINT (-58.3855198157091 -34.5978457780417)
EL DEPO,BAR,MINUTAS,Comuna 1,Constitucion,-34.6259566701851,-58.3829908543239,POINT (-58.3829908543239 -34.6259566701851)
EL DESTINO,RESTAURANTE,INTERNACIONAL,Comuna 6,Caballito,-34.6079462359947,-58.4447650361403,POINT (-58.4447650361403 -34.6079462359947)
EL DORADO,RESTAURANTE,MINUTAS,Comuna 1,San Nicolas,-34.5988226631927,-58.3758353442215,POINT (-58.3758353442215 -34.5988226631927)
EL DORADO,RESTAURANTE,TRADICIONAL,Comuna 2,Recoleta,-34.5972331158137,-58.3896066289073,POINT (-58.3896066289073 -34.5972331158137)
EL DUENDE,RESTAURANTE,INTERNACIONAL,Comuna 1,Monserrat,-34.6098338522763,-58.3862678635456,POINT (-58.3862678635456 -34.6098338522763)
EL EDEN,PUB,SANDWICHERIA,Comuna 11,Villa Devoto,-34.5918397079619,-58.5108241509667,POINT (-58.5108241509667 -34.5918397079619)
EL EDEN,PUB,FAST FOOD,Comuna 15,Villa Ortuzar,-34.5780191817101,-58.471720061234,POINT (-58.471720061234 -34.5780191817101)
EL ENCUENTRO,RESTAURANTE,MINUTAS,Comuna 3,Balvanera,-34.6084173115925,-58.3978496343888,POINT (-58.3978496343888 -34.6084173115925)
EL ENCUENTRO,RESTAURANTE,MINUTAS,Comuna 3,Balvanera,-34.6114714459417,-58.4088124903504,POINT (-58.4088124903504 -34.6114714459417)
EL ENCUENTRO,RESTAURANTE,SANDWICHERIA,Comuna 1,San Telmo,-34.6195299795885,-58.3714011059641,POINT (-58.3714011059641 -34.6195299795885)
EL ENDIABLADO,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5789721849497,-58.4240073513656,POINT (-58.4240073513656 -34.5789721849497)
EL ESCORIAL,CAFE,INTERNACIONAL,Comuna 8,Villa Riachuelo,-34.6851132968263,-58.4747971584076,POINT (-58.4747971584076 -34.6851132968263)
EL ESPAAfaEUR~OL,RESTAURANTE,TRADICIONAL,Comuna 3,Balvanera,-34.6116531976465,-58.3961207374009,POINT (-58.3961207374009 -34.6116531976465)
EL ESTANCIERO,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5726911663367,-58.4301622925606,POINT (-58.4301622925606 -34.5726911663367)
EL ESTAAfaEUR~O,BAR,MINUTAS,Comuna 4,Boca,-34.6354111969355,-58.3682013276668,POINT (-58.3682013276668 -34.6354111969355)
EL FARO,RESTAURANTE,TRADICIONAL,Comuna 1,San Nicolas,-34.6040643488248,-58.3863425371799,POINT (-58.3863425371799 -34.6040643488248)
EL FAROL,RESTAURANTE,INTERNACIONAL,Comuna 5,Almagro,-34.5989021900391,-58.4286989261075,POINT (-58.4286989261075 -34.5989021900391)
EL FEDERAL,BAR,MINUTAS,Comuna 1,San Telmo,-34.6196221287313,-58.374140811537,POINT (-58.374140811537 -34.6196221287313)
EL FEDERAL,RESTAURANTE,REGIONAL,Comuna 14,Palermo,-34.5871734972744,-58.4325611684383,POINT (-58.4325611684383 -34.5871734972744)
EL FEDERAL. PULPERIA,RESTAURANTE,REGIONAL,Comuna 14,Palermo,-34.5893019962854,-58.4309768197937,POINT (-58.4309768197937 -34.5893019962854)
EL FIGON DE BONILLA,RESTAURANTE,TRADICIONAL,Comuna 1,San Nicolas,-34.5997623077338,-58.3705604064936,POINT (-58.3705604064936 -34.5997623077338)
EL FOGON,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5767442706876,-58.4237134850192,POINT (-58.4237134850192 -34.5767442706876)
EL FORTIN,RESTAURANTE,PIZZERIA,Comuna 10,Monte Castro,-34.6242786266542,-58.5116515703906,POINT (-58.5116515703906 -34.6242786266542)
EL FORTIN,RESTAURANTE,REGIONAL,Comuna 12,Saavedra,-34.5414102045339,-58.4740454343695,POINT (-58.4740454343695 -34.5414102045339)
EL FRESNO,RESTAURANTE,MINUTAS,Comuna 3,Balvanera,-34.6086060372014,-58.4023464648439,POINT (-58.4023464648439 -34.6086060372014)
EL GALEANO,BAR,MINUTAS,Comuna 2,Recoleta,-34.5971638957462,-58.3977266428351,POINT (-58.3977266428351 -34.5971638957462)
EL GALEON,RESTAURANTE,MINUTAS,Comuna 14,Palermo,-34.582313376923,-58.4202556004104,POINT (-58.4202556004104 -34.582313376923)
EL GALLO,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6087075719485,-58.3855330440673,POINT (-58.3855330440673 -34.6087075719485)
EL GALPON,RESTAURANTE,TRADICIONAL,Comuna 2,Recoleta,-34.5960071376347,-58.3871712749632,POINT (-58.3871712749632 -34.5960071376347)
EL GARFIO,CAFE,SANDWICHERIA,Comuna 7,Flores,-34.6346156210363,-58.464722128375,POINT (-58.464722128375 -34.6346156210363)
EL GATO,RESTAURANTE,INTERNACIONAL,Comuna 15,Villa Crespo,-34.5983697707651,-58.4525426918416,POINT (-58.4525426918416 -34.5983697707651)
EL GATO NEGRO,BAR,INTERNACIONAL,Comuna 1,San Nicolas,-34.6042104834359,-58.3903036603914,POINT (-58.3903036603914 -34.6042104834359)
EL GAUCHITO GIL,RESTAURANTE,PARRILLA,Comuna 1,Constitucion,-34.6265638983582,-58.3829130452437,POINT (-58.3829130452437 -34.6265638983582)
EL GLOBITO,CAFE,PIZZERIA,Comuna 4,Parque Patricios,-34.6370968464796,-58.4059228352849,POINT (-58.4059228352849 -34.6370968464796)
EL GLOBO,RESTAURANTE,INTERNACIONAL,Comuna 1,Monserrat,-34.6097245177856,-58.3832955806618,POINT (-58.3832955806618 -34.6097245177856)
EL GORRITI RESTAURANT,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5955331214655,-58.4181606419866,POINT (-58.4181606419866 -34.5955331214655)
EL GOSTARAZO II,RESTAURANTE,PARRILLA,Comuna 7,Flores,-34.6339219704137,-58.4680882259498,POINT (-58.4680882259498 -34.6339219704137)
EL GRADUADO,CAFE,SANDWICHERIA,Comuna 3,Balvanera,-34.6033674793885,-58.3924664320318,POINT (-58.3924664320318 -34.6033674793885)
EL GRAN ESPAAfaEUR~OL,RESTAURANTE,PARRILLA,Comuna 4,Parque Patricios,-34.6366310025012,-58.4057234540028,POINT (-58.4057234540028 -34.6366310025012)
EL GRAN PODER RESTAURANT,RESTAURANTE,BOLIVIANA,Comuna 9,Liniers,-34.6412216837866,-58.5289252769817,POINT (-58.5289252769817 -34.6412216837866)
EL GRIEGO,PUB,PIZZERIA,Comuna 11,Villa Devoto,-34.6137974793582,-58.524948615167,POINT (-58.524948615167 -34.6137974793582)
EL GRILL,PUB,TRADICIONAL,Comuna 12,Villa Pueyrredon,-34.5836272425723,-58.4977265343491,POINT (-58.4977265343491 -34.5836272425723)
EL GUARANI,RESTAURANTE,MINUTAS,Comuna 2,Recoleta,-34.5974061155808,-58.4034671281518,POINT (-58.4034671281518 -34.5974061155808)
EL HALCON,RESTAURANTE,INTERNACIONAL,Comuna 10,Floresta,-34.6338321584751,-58.4823682020508,POINT (-58.4823682020508 -34.6338321584751)
EL HIPOPOTAMO,BAR,MINUTAS,Comuna 1,San Telmo,-34.6253341000835,-58.3712839340187,POINT (-58.3712839340187 -34.6253341000835)
EL HURACAN,RESTAURANTE,MINUTAS,Comuna 4,Parque Patricios,-34.6364518976287,-58.4023072483441,POINT (-58.4023072483441 -34.6364518976287)
ELIEL,RESTAURANTE,MINUTAS,Comuna 2,Recoleta,-34.5893752547512,-58.3982444716153,POINT (-58.3982444716153 -34.5893752547512)
EL IMPARCIAL,RESTAURANTE,INTERNACIONAL,Comuna 1,Monserrat,-34.6097430524775,-58.3836301946255,POINT (-58.3836301946255 -34.6097430524775)
EL IMPERIAL,RESTAURANTE,TRADICIONAL,Comuna 11,Villa Devoto,-34.611257970014,-58.5203106971579,POINT (-58.5203106971579 -34.611257970014)
EL IMPERIO DE LA PIZZA,RESTAURANTE,MINUTAS,Comuna 15,Chacarita,-34.5870419917562,-58.4547740602615,POINT (-58.4547740602615 -34.5870419917562)
EL KOZAKO,RESTAURANTE,ESLAVA,Comuna 2,Recoleta,-34.5913073184327,-58.395471246187,POINT (-58.395471246187 -34.5913073184327)
EL MADROAfaEUR~O,RESTAURANTE,INTERNACIONAL,Comuna 12,Saavedra,-34.5476857885573,-58.4693652807931,POINT (-58.4693652807931 -34.5476857885573)
EL MALECON,RESTAURANTE,TRADICIONAL,Comuna 10,Floresta,-34.6294781709124,-58.4839272449399,POINT (-58.4839272449399 -34.6294781709124)
EL MANTO,RESTAURANTE,ARMENIA,Comuna 14,Palermo,-34.5809642741012,-58.4367609042871,POINT (-58.4367609042871 -34.5809642741012)
EL MERCADO,RESTAURANTE,ARGENTINA,Comuna 1,Puerto Madero,-34.6135759691502,-58.3617208868287,POINT (-58.3617208868287 -34.6135759691502)
EL MESON DE DON ENRIQUE,RESTAURANTE,MINUTAS,Comuna 1,Monserrat,-34.6138012878937,-58.3901933678076,POINT (-58.3901933678076 -34.6138012878937)
EL METRO,RESTAURANTE,INTERNACIONAL,Comuna 7,Parque Chacabuco,-34.6311378721261,-58.4259451257196,POINT (-58.4259451257196 -34.6311378721261)
EL METRO,RESTAURANTE,PARRILLA,Comuna 7,Parque Chacabuco,-34.6311378721261,-58.4259451257196,POINT (-58.4259451257196 -34.6311378721261)
EL MIRASOL DE PUERTO MADERO,RESTAURANTE,PARRILLA,Comuna 1,Puerto Madero,-34.6014526381548,-58.3673110801136,POINT (-58.3673110801136 -34.6014526381548)
EL MOSQUITO,RESTAURANTE,PARRILLA,Comuna 5,Almagro,-34.6058892778303,-58.430389221961,POINT (-58.430389221961 -34.6058892778303)
EL MOTIVO,RESTAURANTE,SANDWICHERIA,Comuna 15,Paternal,-34.6014118632681,-58.4704320235257,POINT (-58.4704320235257 -34.6014118632681)
EL MUELLE,PUB,MINUTAS,Comuna 1,Retiro,-34.5957222983705,-58.3725090582826,POINT (-58.3725090582826 -34.5957222983705)
EL MURAL,RESTAURANTE,TRADICIONAL,Comuna 12,Villa Pueyrredon,-34.5829278720201,-58.4969238319511,POINT (-58.4969238319511 -34.5829278720201)
EL MYSTICO,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5825160655279,-58.4404882051251,POINT (-58.4404882051251 -34.5825160655279)
EL NACIONAL,RESTAURANTE,TRADICIONAL,Comuna 1,San Nicolas,-34.6057239659146,-58.3792931618767,POINT (-58.3792931618767 -34.6057239659146)
EL NACIONAL,RESTAURANTE,TRADICIONAL,Comuna 1,San Telmo,-34.6184639357069,-58.3702726258232,POINT (-58.3702726258232 -34.6184639357069)
EL NAVEGANTE,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.5994850792468,-58.3698702124904,POINT (-58.3698702124904 -34.5994850792468)
EL NIDO,RESTAURANTE,MINUTAS,Comuna 1,Monserrat,-34.6123262977494,-58.3682012117448,POINT (-58.3682012117448 -34.6123262977494)
EL NIAfaEUR~O JULIO,RESTAURANTE,PARRILLA,Comuna 13,Belgrano,-34.5599861083029,-58.4628898133769,POINT (-58.4628898133769 -34.5599861083029)
EL NORTE,RESTAURANTE,PIZZERIA,Comuna 2,Recoleta,-34.5895985507849,-58.3952668386847,POINT (-58.3952668386847 -34.5895985507849)
EL NOVILLO ALEGRE,RESTAURANTE,PARRILLA,Comuna 14,Palermo,-34.5669642330655,-58.4378437648195,POINT (-58.4378437648195 -34.5669642330655)
EL NUEVO HENRY BAR,CAFE,MINUTAS,Comuna 1,San Nicolas,-34.6004694219048,-58.3854677018591,POINT (-58.3854677018591 -34.6004694219048)
EL NUEVO MILENIO,BAR,MINUTAS,Comuna 4,Boca,-34.6321826995306,-58.3611079051472,POINT (-58.3611079051472 -34.6321826995306)
EL NUEVO NICO,CAFE,PARRILLA,Comuna 3,Balvanera,-34.610135932696,-58.404819216532,POINT (-58.404819216532 -34.610135932696)
EL NUEVO PUENTE,RESTAURANTE,MINUTAS,Comuna 1,Monserrat,-34.6122593132373,-58.3698047570107,POINT (-58.3698047570107 -34.6122593132373)
EL NUEVO REFUGIO,RESTAURANTE,MINUTAS,Comuna 4,Parque Patricios,-34.6362382958844,-58.4003054226683,POINT (-58.4003054226683 -34.6362382958844)
EL OASIS,RESTAURANTE,MINUTAS,Comuna 1,San Telmo,-34.6220138340321,-58.373776350613,POINT (-58.373776350613 -34.6220138340321)
EL OBRERO,RESTAURANTE,TRADICIONAL,Comuna 4,Boca,-34.6296318425512,-58.3568497213729,POINT (-58.3568497213729 -34.6296318425512)
EL OLMO,RESTAURANTE,MINUTAS,Comuna 2,Recoleta,-34.5944691614772,-58.402559093018,POINT (-58.402559093018 -34.5944691614772)
EL OMBU,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6046863804643,-58.3775664832851,POINT (-58.3775664832851 -34.6046863804643)
EL OMBU,RESTAURANTE,MINUTAS,Comuna 7,Flores,-34.6140259943038,-58.459450962167,POINT (-58.459450962167 -34.6140259943038)
EL OMBU PARRILLA BAR,RESTAURANTE,PARRILLA,Comuna 4,Parque Patricios,-34.638274545412,-58.4048187060706,POINT (-58.4048187060706 -34.638274545412)
EL PALACIO DE LA PAPA FRITA,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6043207982548,-58.389638736717,POINT (-58.389638736717 -34.6043207982548)
EL PALACIO DE LA PAPA FRITA,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6023293239913,-58.3771876455081,POINT (-58.3771876455081 -34.6023293239913)
EL PALACIO DE LA PAPA FRITA,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6025314339851,-58.3802821253876,POINT (-58.3802821253876 -34.6025314339851)
EL PALACIO DE LA PIZZA,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6033640650322,-58.3773107992546,POINT (-58.3773107992546 -34.6033640650322)
EL PAMPA,BAR,MINUTAS,Comuna 4,Barracas,-34.6402272696151,-58.3744165248361,POINT (-58.3744165248361 -34.6402272696151)
EL PAPILLON,CONFITERIA,MINUTAS,Comuna 1,San Nicolas,-34.6059023654841,-58.3793619158618,POINT (-58.3793619158618 -34.6059023654841)
EL PARQUE,CONFITERIA,MINUTAS,Comuna 4,Parque Patricios,-34.6370678992891,-58.4057558979928,POINT (-58.4057558979928 -34.6370678992891)
EL PARRILLON DE RECOLETA,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5716549670458,-58.4226264201567,POINT (-58.4226264201567 -34.5716549670458)
EL PASEO,PUB,TRADICIONAL,Comuna 1,Retiro,-34.5885798929201,-58.3720610552135,POINT (-58.3720610552135 -34.5885798929201)
EL PASEO CAE,CAFE,MINUTAS,Comuna 1,Retiro,-34.5959248738194,-58.3827557239414,POINT (-58.3827557239414 -34.5959248738194)
EL PATIO,CONFITERIA,TRADICIONAL,Comuna 1,San Nicolas,-34.6046066142794,-58.3723372100728,POINT (-58.3723372100728 -34.6046066142794)
EL PATIO DE SAN TELMO,RESTAURANTE,INTERNACIONAL,Comuna 1,San Telmo,-34.6237066927512,-58.376993881876,POINT (-58.376993881876 -34.6237066927512)
EL PATO DE SAN RAMON,RESTAURANTE,TRADICIONAL,Comuna 1,San Nicolas,-34.6046066142794,-58.3723372100728,POINT (-58.3723372100728 -34.6046066142794)
EL PENSADOR,RESTAURANTE,INTERNACIONAL,Comuna 14,Palermo,-34.5847140861849,-58.4240866061506,POINT (-58.4240866061506 -34.5847140861849)
EL PERRO ANDALUZ,RESTAURANTE,MEDITERRANEA,Comuna 1,San Telmo,-34.6202336516614,-58.3714135628122,POINT (-58.3714135628122 -34.6202336516614)
EL PETOLO,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6031327166456,-58.3736002563094,POINT (-58.3736002563094 -34.6031327166456)
EL PINDAL,RESTAURANTE,PIZZERIA,Comuna 12,Villa Urquiza,-34.5745130252684,-58.4864815372125,POINT (-58.4864815372125 -34.5745130252684)
EL PLATO VOLADOR,RESTAURANTE,MINUTAS,Comuna 10,Monte Castro,-34.6156413871447,-58.4978200012292,POINT (-58.4978200012292 -34.6156413871447)
EL PONCHO,RESTAURANTE,MINUTAS,Comuna 3,Balvanera,-34.6070968604962,-58.3978176876684,POINT (-58.3978176876684 -34.6070968604962)
EL POPULAR,RESTAURANTE,MINUTAS,Comuna 15,Chacarita,-34.5832903238867,-58.4526201941075,POINT (-58.4526201941075 -34.5832903238867)
EL PORTEAfaEUR~O,RESTAURANTE,FAST FOOD,Comuna 8,Villa Riachuelo,-34.6879301905214,-58.4778978253575,POINT (-58.4778978253575 -34.6879301905214)
EL PORTON,BAR,MINUTAS,Comuna 1,San Telmo,-34.6160074575719,-58.3712148396326,POINT (-58.3712148396326 -34.6160074575719)
EL PORTUGUES,RESTAURANTE,PARRILLA,Comuna 14,Palermo,-34.570912776998,-58.433020868605,POINT (-58.433020868605 -34.570912776998)
EL PREFERIDO DE PALERMO,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5854572458865,-58.4252970837866,POINT (-58.4252970837866 -34.5854572458865)
EL PROGRESO,BAR,TRADICIONAL,Comuna 4,Barracas,-34.6467442133664,-58.3729403818593,POINT (-58.3729403818593 -34.6467442133664)
EL PUENTECITO,BAR,TRADICIONAL,Comuna 4,Barracas,-34.6556268200684,-58.3749388048068,POINT (-58.3749388048068 -34.6556268200684)
EL PUERTO DE ARIEL,RESTAURANTE,MINUTAS,Comuna 4,Boca,-34.634125974501,-58.3596744384402,POINT (-58.3596744384402 -34.634125974501)
EL PURGATORIO,RESTAURANTE,INTERNACIONAL,Comuna 14,Palermo,-34.5876471131645,-58.4286268965869,POINT (-58.4286268965869 -34.5876471131645)
